Zip,SVI_State,mobRatioOut,mobRatioIntra,Hosp_least,pop2019,week
77034,0.7595146166574738,0.30566774061805146,0.2179379715004191,1,40635,48
77035,0.8179812465526751,0.9128937766586156,0.6182979694273328,0,36931,1
77035,0.8179812465526751,0.9922400945577882,0.6634725074150125,0,36931,2
77035,0.8179812465526751,0.7821573564931394,0.5817932922655715,0,36931,3
77035,0.8179812465526751,1.0722030936841564,1.2744695414099931,0,36931,4
77035,0.8179812465526751,0.9996402692841359,0.8386949577914671,0,36931,5
77035,0.8179812465526751,0.7747571817667918,0.6689482089892768,0,36931,6
77035,0.8179812465526751,0.27606762937458246,0.4033766826374629,1,36931,7
77035,0.8179812465526751,0.3615807595457115,0.34725074150125484,1,36931,8
77035,0.8179812465526751,0.351508299501516,0.8998402920374173,6,36931,9
77035,0.8179812465526751,0.27503982732925636,0.3080082135523614,6,36931,10
77035,0.8179812465526751,0.23495554756153963,0.2897558749714807,1,36931,11
77035,0.8179812465526751,0.2869623310550388,0.36276522929500343,1,36931,12
77035,0.8179812465526751,0.3580862325916029,1.0919461556011865,1,36931,13
77035,0.8179812465526751,0.4144097846754715,0.351357517681953,1,36931,14
77035,0.8179812465526751,0.4199599157202323,0.5270362765229295,1,36931,15
77035,0.8179812465526751,0.637648388920294,0.49053159936116814,6,36931,16
77035,0.8179812465526751,0.5506963358857084,0.6995208761122519,1,36931,17
77035,0.8179812465526751,0.5402127550233825,0.5712981975815652,6,36931,18
77035,0.8179812465526751,0.706922246775271,0.6643851243440566,5,36931,19
77035,0.8179812465526751,0.5515185775219693,0.6862879306411134,10,36931,20
77035,0.8179812465526751,0.5336348219332957,0.5462012320328542,15,36931,21
77035,0.8179812465526751,0.5552186648851432,0.45539584759297286,12,36931,22
77035,0.8179812465526751,0.48183359884886173,0.4375998174766142,11,36931,23
77035,0.8179812465526751,0.3864535690426024,0.5557837097878165,8,36931,24
77035,0.8179812465526751,0.5009507168919266,0.6634725074150125,12,36931,25
77035,0.8179812465526751,0.5159566267536873,0.5963951631302761,1,36931,26
77035,0.8179812465526751,0.43743255049077545,0.6370066164727356,6,36931,27
77035,0.8179812465526751,0.4479161313531014,0.5535021674652065,5,36931,28
77035,0.8179812465526751,0.5071175291638831,0.6402007757243897,1,36931,29
77035,0.8179812465526751,0.3439025643661031,0.3924252794889345,1,36931,30
