Zip,SVI,Date,mobRatioOut,mobRatioIntra,Hospitalized,pop2019,SVIGroup
75180,0.9145063430777717,2020-03-30,0.21668971876440757,0.5471215351812366,2,23941,4
75180,0.9145063430777717,2020-04-06,0.17796219455970494,0.3761194029850746,2,23941,4
75180,0.9145063430777717,2020-04-13,0.26924850161364683,0.3829424307036247,3,23941,4
75180,0.9145063430777717,2020-04-20,0.2028584601198709,0.38123667377398723,0,23941,4
75180,0.9145063430777717,2020-04-27,0.3494698017519594,0.6671641791044776,1,23941,4
75180,0.9145063430777717,2020-05-04,0.40510219763331795,0.6170575692963752,3,23941,4
75180,0.9145063430777717,2020-05-11,0.34977716305517137,0.49872068230277183,1,23941,4
75180,0.9145063430777717,2020-05-18,0.3912709389887813,0.6477611940298508,3,23941,4
75180,0.9145063430777717,2020-05-25,0.4638082065467958,0.6778251599147121,1,23941,4
75180,0.9145063430777717,2020-06-01,0.5593975718457046,0.5243070362473348,3,23941,4
75180,0.9145063430777717,2020-06-08,0.5815275856769633,0.6784648187633262,2,23941,4
75180,0.9145063430777717,2020-06-15,0.5766098048255724,0.5498933901918976,12,23941,4
75180,0.9145063430777717,2020-06-22,0.4966958659904718,0.5590618336886993,6,23941,4
75180,0.9145063430777717,2020-06-29,0.4690333487013985,0.5993603411513859,7,23941,4
75180,0.9145063430777717,2020-07-06,0.4127862302136161,0.6507462686567164,3,23941,4
75180,0.9145063430777717,2020-07-13,0.4293837405870601,0.6471215351812367,4,23941,4
75180,0.9145063430777717,2020-07-20,0.3872752420470263,0.7213219616204691,2,23941,4
75180,0.9145063430777717,2020-07-27,0.5590902105424927,0.7921108742004265,6,23941,4
75180,0.9145063430777717,2020-08-03,0.6291685876748118,0.7829424307036247,1,23941,4
75180,0.9145063430777717,2020-08-10,0.5406485323497772,0.6140724946695096,2,23941,4
75180,0.9145063430777717,2020-08-17,0.5068387889964654,0.6567164179104478,2,23941,4
75180,0.9145063430777717,2020-08-24,0.36084216997080065,0.5957356076759062,0,23941,4
75180,0.9145063430777717,2020-08-31,0.5649300753035192,0.5560767590618337,2,23941,4
75180,0.9145063430777717,2020-09-07,0.6417704011065007,0.7663113006396588,2,23941,4
75180,0.9145063430777717,2020-09-14,0.6746580605501767,0.6678038379530917,2,23941,4
75180,0.9145063430777717,2020-09-21,0.45858306439219304,0.5857142857142857,3,23941,4
75180,0.9145063430777717,2020-09-28,0.5981250960504072,0.7253731343283583,4,23941,4
75180,0.9145063430777717,2020-10-05,0.6758875057630245,0.5356076759061834,3,23941,4
75180,0.9145063430777717,2020-10-12,0.6540648532349778,0.6023454157782516,5,23941,4
75180,0.9145063430777717,2020-10-19,0.5443368679883203,0.5,3,23941,4
75180,0.9145063430777717,2020-10-26,0.5624711848778239,0.6812366737739872,7,23941,4
75180,0.9145063430777717,2020-11-02,0.42016290149070235,0.6,3,23941,4
75180,0.9145063430777717,2020-11-09,0.47579529737206083,0.5782515991471215,8,23941,4
75180,0.9145063430777717,2020-11-16,0.5615491009681881,0.6750533049040511,6,23941,4
75180,0.9145063430777717,2020-11-23,0.41340095282003997,0.5371002132196162,6,23941,4
75180,0.9145063430777717,2020-11-30,0.690026125710773,0.6400852878464819,8,23941,4
75180,0.9145063430777717,2020-12-07,0.6125710773013677,0.6543710021321961,2,23941,4
75180,0.9145063430777717,2020-12-14,0.7327493468572307,0.5283582089552239,11,23941,4
75180,0.9145063430777717,2020-12-21,0.7266021207929921,0.4976545842217484,9,23941,4
75180,0.9145063430777717,2020-12-28,0.27785461810358075,0.32004264392324094,3,23941,4
75181,0.2890237175951461,2020-03-23,0.250549971232274,0.2978723404255319,2,28263,2
75181,0.2890237175951461,2020-03-30,0.25870646766169153,0.36838118845968465,1,28263,2
75181,0.2890237175951461,2020-04-06,0.25532202930923614,0.2529780348412862,0,28263,2
75181,0.2890237175951461,2020-04-13,0.300267370629844,0.294567238173931,1,28263,2
75181,0.2890237175951461,2020-04-20,0.3047348292550851,0.2667492942229567,3,28263,2
